province,school,year,track,top_gender,top_score,note
湖南,湖南师大附中,1984,文,M,,录取北大；性别=初筛确认(2026-08-09)
湖南,沅江一中,1985,理,NA,616,
湖南,湘潭十一中,1985,文,NA,519,录取北大
湖南,隆回一中,1985,外,NA,547,文科外语类状元;录取复旦中文
湖南,武冈二中,1986,理,M,,录取清华现代物理应用；性别=初筛确认(2026-08-09)
湖南,涟源五中,1986,文,NA,,录取北师大
湖南,临湘一中,1987,理,NA,,录取中科大
湖南,安仁一中,1988,文,F,,女(原文'她');录取北大
湖南,临澧太浮镇中学,1989,理,NA,,录取中科大
湖南,耒阳二中,1989,文,NA,,录取北大
湖南,冷水江一中,1990,理,NA,,
湖南,冷水江一中,1990,文,NA,,
湖南,邵东三中,1991,理,NA,,录取北大
湖南,汨罗一中,1992,理,NA,660,录取清华
湖南,岳阳县一中,1992,文,NA,,并列;录取北大
湖南,汨罗一中,1992,文,M,,并列;录取人大；性别=初筛确认(2026-08-09)
湖南,桂阳三中,1993,文,NA,,并列;录取南京政治学院
湖南,绥宁一中,1993,文,NA,,并列
湖南,醴陵一中,1994,理,NA,675,并列
湖南,岳阳县一中,1994,理,NA,,并列;录取清华
湖南,醴陵一中,1994,文,M,613,性别=初筛确认(2026-08-09)
湖南,涟源一中,1995,理,NA,675,录取清华
湖南,岳阳县一中,1995,文,M,,录取北大；性别=初筛确认(2026-08-09)
湖南,长沙一中,1996,理,F,657,女(原文'她');录取清华建筑
湖南,新化一中,1996,文,NA,,录取北大社会学
湖南,郴州一中,1997,理,F,,录取清华自动化；性别=初筛确认(2026-08-09)
湖南,冷水江一中,1997,文,M,,录取北大；性别=初筛确认(2026-08-09)
湖南,桃江一中,1998,理,NA,,录取清华
湖南,益阳箴言中学,1998,文,M,641,录取北大；性别=初筛确认(2026-08-09)
湖南,株洲二中,1999,理,NA,705,录取清华
湖南,郴州一中,1999,文,NA,,录取北大
湖南,长郡中学,2000,理,M,685,男(原文'他');语113数140英139物147化146;录取清华计算机
