province,year,track,name_anon,gender,total_score,high_school,hs_city,is_tie,is_bonus_adj,college,note
湖南,2001,理,邓*,NA,688,衡阳八中,NA,0,0,清华,录取清华
湖南,2001,文,谭*,F,668,衡东一中,NA,0,0,北大光华,女(原文'她');录取北大光华
湖南,2002,理,刘*,NA,719,涟源一中,NA,0,1,清华,含加分20裸分699;总分状元;录取清华
湖南,2002,理,肖*,M,703,华容一中,NA,0,0,北大,男(原文'他');裸分状元;语126数146外137综294;录取北大
湖南,2002,文,李*,NA,666,湘乡一中,NA,0,0,北大,语130数134外133综269;录取北大
湖南,2003,理,赵*,M,689,桃源一中,NA,0,1,NA,含加分30裸分659;总分状元
湖南,2003,理,彭*,M,661,涟源行知中学,NA,0,0,清华,男(原文'他');裸分状元;语121数144英126综270;录取清华
湖南,2003,文,黄*,F,696,湘潭县一中,NA,0,1,北大,女(原文'她');含加分10裸分686;语132数148外134综272;录取北大
湖南,2004,理,龚*,M,723,桑植一中,NA,0,1,清华电子,男(原文'他');含加分30裸分693;语127数142英132综292;录取清华电子
湖南,2004,文,周*,M,697,长郡中学,NA,0,1,北大,男(原文'他');含加分10裸分687;语120数149英142综276;录取北大
湖南,2005,理,王*,M,716,常宁一中,NA,0,1,清华数理基础,男(原文'他');含加分20裸分696;语127数139英138综292;录取清华数理基础
湖南,2005,文,向*,F,701,湘西民族中学,NA,0,1,北大元培,女;含加分20裸分681;总分状元;录取北大元培
湖南,2005,文,陈*,M,682,衡阳实验中学,NA,0,0,北大光华,男(原文'他');裸分状元;语118数146英136综282;录取北大光华
湖南,2006,理,李*,M,707,郴州一中,NA,0,1,北大,男(原文'他');含加分20裸分687;语128数141英139综279;录取北大
湖南,2006,文,刘*,F,696,怀化铁一中,NA,0,1,北大,女;含加分20裸分676;总分状元;录取北大
湖南,2006,文,高*,F,692,雅礼中学,NA,0,0,清华外语,女(原文'她');裸分状元;语127数140英139综286;录取清华外语
湖南,2007,理,戴*,F,707,湖南师大附中,NA,0,1,清华,女(原文'她');含加分20裸分687;语126数144外137综280;录取清华
湖南,2007,文,李*,F,673,湖南师大附中,NA,0,1,北大,女;含加分20裸分653;总分状元;录取北大
湖南,2007,文,戴*,F,658,长郡中学,NA,0,0,北大,女(原文'她');裸分状元;语122数136英132综268;录取北大
湖南,2007,文,杨*,F,658,长郡中学,NA,0,0,港大,女(原文'她');裸分状元并列;语134数129英140综255;录取港大
湖南,2008,理,张*,M,709,郴州一中,NA,0,1,北大,含加分20裸分689;录取北大
湖南,2008,文,吴*,F,687,湘西民族中学,NA,0,1,北大,女(原文'她');含加分20裸分667;语130数141英134综262;录取北大
湖南,2009,理,柴*,F,702,慈利一中,NA,0,1,清华,女(原文'她');含加分20裸分682;语125数139英142综276;录取清华
湖南,2009,文,徐*,NA,672,怀化铁一中,NA,0,1,NA,含加分20裸分652;总分状元
湖南,2009,文,金*,NA,654,石门一中,NA,0,0,北大,裸分状元;录取北大
湖南,2010,理,王*,NA,710,湖南师大附中,NA,0,1,清华,含加分20裸分690;总分状元;录取清华
湖南,2010,理,龙*,F,695,雅礼中学,NA,0,0,北大,女(原文'她');裸分状元;语121数142英144综288;录取北大
湖南,2010,文,胡*,NA,670,岳阳市一中,NA,0,1,清华,含加分15裸分655;总分状元;录取清华
湖南,2010,文,殷*,F,657,常德芷兰实验学校,NA,0,0,清华法学,女(原文'她');裸分状元;语134数140外140综243;录取清华法学
湖南,2011,理,杨*,F,717,同升湖实验学校,NA,0,1,港大,女(原文'她');含加分20裸分697;复读生(2010=610);语130数133英146综288;录取港大;总分状元
湖南,2011,理,彭*,M,708,石门一中,NA,0,1,清华,男(原文'他');含加分5裸分703;裸分状元;语131数141英142综289;录取清华
湖南,2011,文,何*,F,675,长沙一中,NA,0,1,港大,女(原文'她');含加分20裸分655;总分状元;语127数133英143综252;录取港大
湖南,2011,文,徐*,F,675,湘西民族中学,NA,0,1,北大,女;含加分20裸分655;总分状元并列;录取北大
湖南,2011,文,周*,M,666,长郡中学,NA,0,0,北大元培,男(原文'他');裸分状元;语126数140英144综256;录取北大元培
湖南,2012,理,胡*,M,705,长沙一中,NA,0,1,清华电子,男(原文'他');含加分20裸分685;语116数132英143综294;录取清华电子
湖南,2012,文,袁*,F,682,长沙一中,NA,0,1,港大,女(原文'她');含加分20裸分662;总分状元;录取港大
湖南,2012,文,龙*,F,665,雅礼中学,NA,0,0,清华经管,女(原文'她');裸分状元;语116数138英141综270;录取清华经管
湖南,2013,理,李*,NA,704,雅礼中学,NA,0,1,清华,含加分20裸分684;录取清华
